scheme,operation,n_participants,threshold,attributes,mean_ms
t_siris,obtain_master,4,3,4,2.6396777237073468
t_siris,obtain_master,4,3,8,4.336612887448239
t_siris,obtain_master,4,3,16,7.301413987490351
t_siris,obtain_master,4,3,32,13.168383933888888
t_siris,obtain_master,4,3,64,24.92002284454546
t_siris,obtain_master,4,3,128,47.27598903
t_siris,obtain_master,16,9,4,2.719964629492972
t_siris,obtain_master,16,9,8,4.434522406343196
t_siris,obtain_master,16,9,16,7.356277081915867
t_siris,obtain_master,16,9,32,13.231807546111108
t_siris,obtain_master,16,9,64,24.764775942727272
t_siris,obtain_master,16,9,128,47.31681417666667
t_siris,obtain_master,64,33,4,4.706494009747906
t_siris,obtain_master,64,33,8,6.361218124556387
t_siris,obtain_master,64,33,16,9.335534103076924
t_siris,obtain_master,64,33,32,15.551623283529418
t_siris,obtain_master,64,33,64,27.166754630000007
t_siris,obtain_master,64,33,128,58.058908657999986
t_siris,issue_context_no_zkp,4,3,4,4.507865306625343
t_siris,issue_context_no_zkp,4,3,8,6.410782658829657
t_siris,issue_context_no_zkp,4,3,16,9.285364991649738
t_siris,issue_context_no_zkp,4,3,32,15.530462655
t_siris,issue_context_no_zkp,4,3,64,28.40703365
t_siris,issue_context_no_zkp,4,3,128,54.08050924199999
t_siris,issue_context_no_zkp,16,9,4,8.870440997216882
t_siris,issue_context_no_zkp,16,9,8,13.665275483157895
t_siris,issue_context_no_zkp,16,9,16,24.85183098363637
t_siris,issue_context_no_zkp,16,9,32,42.94018195
t_siris,issue_context_no_zkp,16,9,64,82.5492846825
t_siris,issue_context_no_zkp,16,9,128,160.83401874
t_siris,issue_context_no_zkp,64,33,4,30.95807514111112
t_siris,issue_context_no_zkp,64,33,8,50.88314074199999
t_siris,issue_context_no_zkp,64,33,16,86.41014472
t_siris,issue_context_no_zkp,64,33,32,147.026260845
t_siris,issue_context_no_zkp,64,33,64,281.89459622000004
t_siris,issue_context_no_zkp,64,33,128,552.92006501
t_siris,show,4,3,4,1.194148563109401
t_siris,show,4,3,8,1.2689889495022122
t_siris,show,4,3,16,1.314793120436966
t_siris,show,4,3,32,1.4923686215746677
t_siris,show,4,3,64,1.6439200500844375
t_siris,show,4,3,128,1.9863364618294543
t_siris,show,16,9,4,1.2370163139065165
t_siris,show,16,9,8,1.2485880611611777
t_siris,show,16,9,16,1.32090345514077
t_siris,show,16,9,32,1.493993968392474
t_siris,show,16,9,64,1.8045757417723776
t_siris,show,16,9,128,2.3017653697017115
t_siris,show,64,33,4,1.2488694231872508
t_siris,show,64,33,8,1.3200015561617753
t_siris,show,64,33,16,1.3309588449791512
t_siris,show,64,33,32,1.4970602095830758
t_siris,show,64,33,64,1.6785231644036007
t_siris,show,64,33,128,2.007555989081418
t_siris,verify,4,3,4,1.7052634784571312
t_siris,verify,4,3,8,1.6593190187751976
t_siris,verify,4,3,16,1.6752730636080229
t_siris,verify,4,3,32,1.6752915458028963
t_siris,verify,4,3,64,1.6738482322207635
t_siris,verify,4,3,128,1.6808171785138095
t_siris,verify,16,9,4,1.8572084938892124
t_siris,verify,16,9,8,1.661646835919043
t_siris,verify,16,9,16,1.667174353710818
t_siris,verify,16,9,32,1.661976591043617
t_siris,verify,16,9,64,1.6722899433238658
t_siris,verify,16,9,128,1.6773608707013157
t_siris,verify,64,33,4,1.7074410555510195
t_siris,verify,64,33,8,1.6724201059634247
t_siris,verify,64,33,16,1.6622522140700513
t_siris,verify,64,33,32,1.6626263849609164
t_siris,verify,64,33,64,1.6652057774218214
t_siris,verify,64,33,128,1.6629021123382524
t_siris,aggregate,4,3,4,10.046955071899223
t_siris,aggregate,4,3,8,13.675703514555305
t_siris,aggregate,4,3,16,19.576845163185077
t_siris,aggregate,4,3,32,31.866506756266453
t_siris,aggregate,4,3,64,56.64482477685066
t_siris,aggregate,4,3,128,105.02365191234325
t_siris,aggregate,16,9,4,14.684630434505584
t_siris,aggregate,16,9,8,21.010032786581313
t_siris,aggregate,16,9,16,35.196185874403824
t_siris,aggregate,16,9,32,59.3279600555472
t_siris,aggregate,16,9,64,110.79092631032351
t_siris,aggregate,16,9,128,212.1299591570697
t_siris,aggregate,64,33,4,38.6208796295973
t_siris,aggregate,64,33,8,60.23678052868158
t_siris,aggregate,64,33,16,98.73888988212613
t_siris,aggregate,64,33,32,165.7375707230734
t_siris,aggregate,64,33,64,312.4050797918255
t_siris,aggregate,64,33,128,614.6494317694196
